cohort,bucket_pair,gene_set,observed_r,perm_p_raw,ci_low,ci_high,n_perm,n_bootstrap
schulte_schrepping_2020,B_vs_CD4T,MVS,0.9834,0.002,0.9578,0.9857,500,200
schulte_schrepping_2020,B_vs_CD8T,full,0.8286,0.002,0.7481,0.8465,500,200
schulte_schrepping_2020,B_vs_CD8T,MVS,0.9807,0.002,0.9544,0.985,500,200
schulte_schrepping_2020,B_vs_NK,full,0.7698,0.002,0.7082,0.7833,500,200
schulte_schrepping_2020,B_vs_NK,MVS,0.9706,0.002,0.9441,0.9786,500,200
schulte_schrepping_2020,B_vs_monocyte,full,0.4747,0.0319,0.368,0.5298,500,200
schulte_schrepping_2020,B_vs_monocyte,MVS,0.188,0.3852,-0.2216,0.4894,500,200
schulte_schrepping_2020,CD4T_vs_CD8T,full,0.9035,0.002,0.825,0.93,500,200
schulte_schrepping_2020,CD4T_vs_CD8T,MVS,0.9637,0.004,0.9233,0.9759,500,200
schulte_schrepping_2020,CD4T_vs_NK,full,0.8096,0.002,0.7415,0.8237,500,200
schulte_schrepping_2020,CD4T_vs_NK,MVS,0.9364,0.002,0.8926,0.9569,500,200
schulte_schrepping_2020,CD4T_vs_monocyte,full,0.4756,0.0379,0.3752,0.5278,500,200
schulte_schrepping_2020,CD4T_vs_monocyte,MVS,0.2131,0.3273,-0.1964,0.4769,500,200
schulte_schrepping_2020,CD8T_vs_NK,full,0.9335,0.002,0.8714,0.9298,500,200
schulte_schrepping_2020,CD8T_vs_NK,MVS,0.9836,0.002,0.9532,0.9894,500,200
schulte_schrepping_2020,CD8T_vs_monocyte,full,0.4779,0.0339,0.3666,0.5339,500,200
schulte_schrepping_2020,CD8T_vs_monocyte,MVS,0.1163,0.4132,-0.331,0.4283,500,200
schulte_schrepping_2020,NK_vs_monocyte,full,0.4333,0.02,0.3216,0.4893,500,200
schulte_schrepping_2020,NK_vs_monocyte,MVS,0.119,0.4212,-0.3431,0.4706,500,200
