bucket,metric,observed,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,in_split_half_ci_alpha05,calibrated_pass_p95_alpha05,calibrated_pass_p99_alpha05,n_perm,n_splits,note
B_memory,pearson,0.2592,0.2592,0.2339,0.1557,0.1619,0.2333,0.005,1000.0,0.5163,0.1003,0.9207,True,True,True,1000.0,50.0,
B_memory,spearman,0.2152,0.2592,0.2339,0.1557,0.1399,0.1944,0.007,1000.0,0.4334,0.0728,0.8912,True,True,True,1000.0,50.0,
B_memory,de_jaccard_top100,0.1171,0.2592,0.2339,0.1557,0.1553,0.1798,0.3377,1000.0,0.2686,0.0581,0.551,True,False,False,1000.0,50.0,
B_memory,mmd_rbf,-0.102,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
B_naive,pearson,0.3125,0.3125,0.3403,-0.0094,0.1874,0.2706,0.005,1000.0,0.4785,0.1157,0.8608,True,True,True,1000.0,50.0,
B_naive,spearman,0.2229,0.3125,0.3403,-0.0094,0.1507,0.2144,0.011,1000.0,0.3912,0.0047,0.834,True,True,True,1000.0,50.0,
B_naive,de_jaccard_top100,0.1719,0.3125,0.3403,-0.0094,0.2316,0.2641,0.3856,1000.0,0.2262,0.0695,0.4187,True,False,False,1000.0,50.0,
B_naive,mmd_rbf,-0.0793,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD4T_em,pearson,0.1124,0.1124,0.0209,-0.1598,0.3154,0.4117,0.2687,1000.0,0.5858,0.1568,0.7945,False,False,False,1000.0,50.0,
CD4T_em,spearman,0.1063,0.1124,0.0209,-0.1598,0.2438,0.3633,0.2238,1000.0,0.4653,0.0789,0.7145,True,False,False,1000.0,50.0,
CD4T_em,de_jaccard_top100,0.0874,0.1124,0.0209,-0.1598,0.2329,0.2639,0.979,1000.0,0.286,0.0989,0.4184,False,False,False,1000.0,50.0,
CD4T_em,mmd_rbf,-0.1787,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD4T_naive_cm,pearson,0.2742,0.2742,0.2752,-0.0587,0.2058,0.3103,0.024,1000.0,0.6333,0.0563,0.9204,True,True,False,1000.0,50.0,
CD4T_naive_cm,spearman,0.2125,0.2742,0.2752,-0.0587,0.1582,0.2326,0.018,1000.0,0.5013,-0.0355,0.864,True,True,False,1000.0,50.0,
CD4T_naive_cm,de_jaccard_top100,0.1934,0.2742,0.2752,-0.0587,0.2129,0.2452,0.1209,1000.0,0.3436,0.1236,0.6007,True,False,False,1000.0,50.0,
CD4T_naive_cm,mmd_rbf,-0.142,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD4T_treg,pearson,0.288,0.288,0.2842,0.1588,0.2361,0.3228,0.021,1000.0,0.6182,0.3772,0.9199,False,False,False,1000.0,50.0,
CD4T_treg,spearman,0.1643,0.288,0.2842,0.1588,0.1529,0.2212,0.04,1000.0,0.5566,0.3355,0.8739,False,False,False,1000.0,50.0,
CD4T_treg,de_jaccard_top100,0.1605,0.288,0.2842,0.1588,0.1609,0.2027,0.0539,1000.0,0.3201,0.1173,0.5782,True,False,False,1000.0,50.0,
CD4T_treg,mmd_rbf,-0.1531,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T_em_temra,pearson,0.2398,0.2398,0.2515,0.0239,0.1597,0.2463,0.013,1000.0,0.6554,0.3143,0.9438,False,False,False,1000.0,50.0,
CD8T_em_temra,spearman,0.1695,0.2398,0.2515,0.0239,0.1161,0.1658,0.009,1000.0,0.4908,0.1465,0.8929,True,True,True,1000.0,50.0,
CD8T_em_temra,de_jaccard_top100,0.1288,0.2398,0.2515,0.0239,0.1725,0.1975,0.2867,1000.0,0.3489,0.1364,0.626,False,False,False,1000.0,50.0,
CD8T_em_temra,mmd_rbf,-0.1585,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T_em_trm,pearson,0.1003,0.1003,-0.0807,-0.1274,0.2516,0.3323,0.2617,1000.0,0.5393,0.028,0.9443,True,False,False,1000.0,50.0,
CD8T_em_trm,spearman,0.0402,0.1003,-0.0807,-0.1274,0.2739,0.3469,0.3926,1000.0,0.4591,0.0006,0.8966,True,False,False,1000.0,50.0,
CD8T_em_trm,de_jaccard_top100,0.1279,0.1003,-0.0807,-0.1274,0.1646,0.1962,0.2807,1000.0,0.3389,0.1111,0.6949,True,False,False,1000.0,50.0,
CD8T_em_trm,mmd_rbf,-0.1576,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T_mait,pearson,0.1221,0.1221,0.1221,0.1221,0.1381,0.1775,0.0789,1000.0,0.4296,0.0155,0.7934,True,False,False,1000.0,50.0,
CD8T_mait,spearman,0.0974,0.1221,0.1221,0.1221,0.126,0.1649,0.1029,1000.0,0.3788,0.0011,0.7241,True,False,False,1000.0,50.0,
CD8T_mait,de_jaccard_top100,0.0363,0.1221,0.1221,0.1221,0.0526,0.0638,0.2687,1000.0,0.2088,0.0471,0.4137,False,False,False,1000.0,50.0,
CD8T_mait,mmd_rbf,-0.4991,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T_naive_cm,pearson,0.11,0.11,0.1765,-0.2597,0.2336,0.3261,0.2108,1000.0,0.553,0.1539,0.8491,False,False,False,1000.0,50.0,
CD8T_naive_cm,spearman,0.0617,0.11,0.1765,-0.2597,0.1894,0.2639,0.2547,1000.0,0.4921,0.0701,0.7646,False,False,False,1000.0,50.0,
CD8T_naive_cm,de_jaccard_top100,0.0835,0.11,0.1765,-0.2597,0.175,0.2029,0.8511,1000.0,0.2597,0.0795,0.4314,True,False,False,1000.0,50.0,
CD8T_naive_cm,mmd_rbf,-0.1767,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
NK_cd16pos,pearson,0.3663,0.3663,0.3206,0.1917,0.1924,0.2835,0.002,1000.0,0.7035,0.4048,0.9411,False,False,False,1000.0,50.0,
NK_cd16pos,spearman,0.2574,0.3663,0.3206,0.1917,0.1312,0.1869,0.001,1000.0,0.5024,0.1499,0.8959,True,True,True,1000.0,50.0,
