bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
NK_cd16pos,de_jaccard_top100,0.1762,0.1265,0.2208,0.3663,0.3206,0.1917,0.2061,0.2413,0.1389,1000.0,0.4064,0.2121,0.6529,False,False,False,False,False,False,1000.0,50.0,200.0,0.2174,False,
NK_cd16pos,mmd_rbf,-0.1069,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
mono_classical,pearson,0.6583,0.4287,0.6827,0.6583,0.6477,0.5194,0.2719,0.4182,0.001,1000.0,0.7036,0.3838,0.9268,True,True,True,True,True,False,1000.0,50.0,200.0,0.0072,True,
mono_classical,spearman,0.5782,0.3474,0.5644,0.6583,0.6477,0.5194,0.1807,0.3,0.001,1000.0,0.5949,0.3058,0.8707,True,True,True,True,True,False,1000.0,50.0,200.0,0.0072,True,
mono_classical,de_jaccard_top100,0.266,0.1594,0.2968,0.6583,0.6477,0.5194,0.2411,0.2921,0.023,1000.0,0.3346,0.1561,0.6132,True,True,True,False,False,False,1000.0,50.0,200.0,0.054,False,
mono_classical,mmd_rbf,-0.0916,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
mono_nonclassical,pearson,0.5613,0.3707,0.663,0.5613,0.5626,0.5078,0.237,0.3906,0.001,1000.0,0.603,0.2037,0.869,True,True,True,True,True,False,1000.0,50.0,200.0,0.0072,True,
mono_nonclassical,spearman,0.4148,0.2499,0.4922,0.5613,0.5626,0.5078,0.1686,0.2733,0.001,1000.0,0.4972,0.0894,0.8753,True,True,True,True,True,False,1000.0,50.0,200.0,0.0072,True,
mono_nonclassical,de_jaccard_top100,0.2524,0.1629,0.3258,0.5613,0.5626,0.5078,0.2383,0.2914,0.032,1000.0,0.2649,0.1234,0.4601,True,True,True,False,False,False,1000.0,50.0,200.0,0.0678,False,
mono_nonclassical,mmd_rbf,-0.1062,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
