cohort,bucket,n_common_genes,n_mvs_common,observed_r_full,observed_r_mvs,perm_p95_full,perm_p99_full,perm_p_value_full,perm_p99_mvs,perm_p_value_mvs,perm_n_actual,ci_low_full,ci_high_full,ci_low_mvs,ci_high_mvs,n_bootstrap
yoshida_2022,B,3968,48,0.1883,0.4359,0.3567,0.4221,0.194,0.6502,0.1841,200,-0.0533,0.4656,-0.0382,0.5503,100
yoshida_2022,CD4T,3940,57,0.0802,0.278,0.3301,0.3993,0.3035,0.7513,0.2786,200,-0.1777,0.3222,-0.1616,0.6276,100
yoshida_2022,CD8T,3952,61,0.108,0.3197,0.2607,0.2978,0.2786,0.555,0.194,200,-0.1262,0.2561,0.0471,0.561,100
yoshida_2022,NK,3954,47,0.1268,0.2822,0.248,0.3308,0.2537,0.635,0.204,200,-0.1043,0.2608,0.0588,0.4742,100
yoshida_2022,monocyte,3946,57,0.3871,0.591,0.3912,0.4676,0.0597,0.6408,0.0697,200,-0.0559,0.5215,-0.0548,0.6771,100
