cohort,bucket,n_common_genes,n_mvs_common,observed_r_full,observed_r_mvs,perm_p95_full,perm_p99_full,perm_p_value_full,perm_p99_mvs,perm_p_value_mvs,perm_n_actual,ci_low_full,ci_high_full,ci_low_mvs,ci_high_mvs,n_bootstrap
gse157829,B,2924,48,0.2628,0.5961,0.2937,0.2937,0.4129,0.642,0.2985,200,0.0605,0.4566,0.2109,0.692,63
gse157829,CD4T,3107,57,0.084,0.2572,0.1541,0.1541,0.4478,0.2572,0.1343,200,0.0101,0.2351,0.155,0.4335,71
gse157829,CD8T,3191,61,0.3827,0.6121,0.3827,0.3827,0.1343,0.6121,0.1343,200,0.245,0.4719,0.4153,0.6731,72
gse157829,NK,3210,47,0.1246,0.4163,0.2645,0.2645,0.2935,0.4163,0.1443,200,0.0371,0.2072,0.285,0.5104,59
gse157829,monocyte,3109,57,-0.0111,0.0405,0.3372,0.3372,0.6842,0.5549,0.6959,170,-0.0606,0.0958,-0.3306,0.1087,69
