bucket,config_idx,n_latent,n_hidden,n_layers,r_full,r_mvs,n_genes_full,n_genes_mvs,wall_seconds,selected,calibrated,r_full_harmony,r_mvs_harmony,delta_r_full,delta_r_mvs,perm_p_mvs,ci_low_mvs,ci_high_mvs,n_perm
CD8T,0,10,128,1,0.0773,0.3056,4000.0,61.0,556.8,False,False,,,,,,,,
CD8T,1,10,128,2,0.0802,0.3026,4000.0,61.0,557.6,False,False,,,,,,,,
CD8T,2,10,256,1,0.0988,0.3045,4000.0,61.0,541.2,False,False,,,,,,,,
CD8T,3,10,256,2,0.083,0.2975,4000.0,61.0,628.8,False,False,,,,,,,,
CD8T,4,20,128,1,0.0842,0.288,4000.0,61.0,526.3,False,False,,,,,,,,
CD8T,5,20,128,2,0.0744,0.3346,4000.0,61.0,591.4,False,False,,,,,,,,
CD8T,6,20,256,1,0.1067,0.2977,4000.0,61.0,507.3,False,False,,,,,,,,
CD8T,7,20,256,2,0.0921,0.3189,4000.0,61.0,539.9,False,False,,,,,,,,
CD8T,8,30,128,1,0.0769,0.3324,4000.0,61.0,517.5,False,False,,,,,,,,
CD8T,9,30,128,2,0.0863,0.2605,4000.0,61.0,585.0,False,False,,,,,,,,
CD8T,10,30,256,1,0.1091,0.3538,4000.0,61.0,505.7,True,False,,,,,,,,
CD8T,11,30,256,2,0.0947,0.3171,4000.0,61.0,555.4,False,False,,,,,,,,
CD8T,12,50,128,1,0.0803,0.3224,4000.0,61.0,541.8,False,False,,,,,,,,
CD8T,13,50,128,2,0.0819,0.3415,4000.0,61.0,604.1,False,False,,,,,,,,
CD8T,14,50,256,1,0.1062,0.3376,4000.0,61.0,521.9,False,False,,,,,,,,
CD8T,15,50,256,2,0.104,0.3131,4000.0,61.0,585.3,False,False,,,,,,,,
CD8T,10,30,256,1,0.1091,0.3538,,,,True,True,0.1686,0.4,-0.0595,-0.0462,0.033,0.1541,0.5163,1000.0
