cohort,bucket,n_common_genes,n_mvs_common,observed_r_full,observed_r_mvs,perm_p95_full,perm_p99_full,perm_p_value_full,perm_p99_mvs,perm_p_value_mvs,perm_n_actual,ci_low_full,ci_high_full,ci_low_mvs,ci_high_mvs,n_bootstrap
yoshida_2022,B,3968,48,0.1883,0.4359,0.3729,0.4236,0.2028,0.6661,0.2128,1000,-0.0674,0.4254,-0.0893,0.553,200
yoshida_2022,CD4T,3940,57,0.0802,0.278,0.3236,0.4134,0.3487,0.6983,0.2777,1000,-0.1605,0.2571,-0.1494,0.5519,200
yoshida_2022,CD8T,3952,61,0.108,0.3197,0.2401,0.3168,0.2527,0.586,0.1489,1000,-0.1019,0.2655,0.0614,0.511,200
yoshida_2022,NK,3954,47,0.1268,0.2822,0.2643,0.3319,0.2188,0.6778,0.2038,1000,-0.1409,0.248,-0.0121,0.5072,200
yoshida_2022,monocyte,3946,57,0.3871,0.591,0.3688,0.4748,0.04,0.6498,0.0519,1000,-0.1025,0.5424,0.0174,0.6843,200
